name,district,party,office,phone,dist_office,dist_phone,email,website,source URL,dat checked
"Jeffrey Young, JR",5,,586,215-686-3442,,,,,https://philacitycouncil.maps.arcgis.com/apps/instant/lookup/index.html?appid=9cf0fb3394914cd0a8a7f22ea1395d55#find=1637%20N%207th%20St%2C%20Philadelphia%2C%20PA%2C%2019122%2C%20USA,8/11/26
Mark Squilla,1,,332,215-686-3458,,,,,https://philacitycouncil.maps.arcgis.com/apps/instant/lookup/index.html?appid=9cf0fb3394914cd0a8a7f22ea1395d55#find=400%20Arch%20St%2C%20Philadelphia%2C%20Pennsylvania%2C%2019106,8/11/26
Kenyatta Johnson,2,,580,215-686-3412,"City Hall, Room 580",(215) 686-3413,,,https://philacitycouncil.maps.arcgis.com/apps/instant/lookup/index.html?appid=9cf0fb3394914cd0a8a7f22ea1395d55#find=Penrose%20Ferry%20Rd%2C%20Philadelphia%2C%20Pennsylvania%2C%2019145,8/11/26
Jamie Gauthier,3,,316,215-686-0459,"606 S 52nd St, Philadelphia, PA 19143",(215) 472-2419,,,https://philacitycouncil.maps.arcgis.com/apps/instant/lookup/index.html?appid=9cf0fb3394914cd0a8a7f22ea1395d55#find=4224%20Pine%20St%2C%20Philadelphia%2C%20Pennsylvania%2C%2019104,8/11/26
Curtis Jones Jr.,4,,404,215-686-3416,5901 Market Street - Suite 107,,,,https://philacitycouncil.maps.arcgis.com/apps/instant/lookup/index.html?appid=9cf0fb3394914cd0a8a7f22ea1395d55#find=1412%20N%2057th%20St%2C%20Philadelphia%2C%20Pennsylvania%2C%2019131,8/11/26
Mike Driscoll,6,,313,215-686-3444,7552 Frankford Ave,(215) 683-9220,,,https://philacitycouncil.maps.arcgis.com/apps/instant/lookup/index.html?appid=9cf0fb3394914cd0a8a7f22ea1395d55#find=St%20Stephen's%20United%20Church%20of%20Christ,8/11/26
Quetcy Lozada,7,,484,215-686-3448,4821-A Frankford Avenue,215-764-1542,,,https://philacitycouncil.maps.arcgis.com/apps/instant/lookup/index.html?appid=9cf0fb3394914cd0a8a7f22ea1395d55#find=449-499%20E%20Tioga%20St%2C%20Philadelphia%2C%20Pennsylvania%2C%2019134,8/11/26
Cindy Bass,8,,508,215-686-3424,4439A Germantown Ave,215-685-9182,,,https://philacitycouncil.maps.arcgis.com/apps/instant/lookup/index.html?appid=9cf0fb3394914cd0a8a7f22ea1395d55#find=The%20Hansberry%20Garden,8/11/26
Anthony Phillips,9,,577,215-686-3455,1514 E. Wadsworth Avenue,(215) 686-3454,,,https://philacitycouncil.maps.arcgis.com/apps/instant/lookup/index.html?appid=9cf0fb3394914cd0a8a7f22ea1395d55#find=246%20W%20Nedro%20Ave%2C%20Philadelphia%2C%20Pennsylvania%2C%2019120,8/11/26
Brian J. O'Neill,10,,562,215-686-3422,,,,,https://philacitycouncil.maps.arcgis.com/apps/instant/lookup/index.html?appid=9cf0fb3394914cd0a8a7f22ea1395d55#find=2025%20Murray%20St%2C%20Philadelphia%2C%20Pennsylvania%2C%2019115,8/11/26
Katherine Gilmore Richardson,at large,,581,215-686-0454,,,,,https://phlcouncil.com/KatherineGilmoreRichardson/,8/11/26
Isaiah Thomas,at large,,330,215-686-3446,,,,,https://phlcouncil.com/IsaiahThomas/,8/11/26
Jim Harrity,at large,,408,215-686-8295,,,,,https://phlcouncil.com/JimHarrity/,8/11/26
Nina Ahmad,at large,,577,215-686-3450,,,,,https://phlcouncil.com/NinaAhmad/,8/11/26
Rue Landau,at large,,592,215-686-3420,,,,,https://phlcouncil.com/RueLandau/,8/11/26
Kendra Brooks,at large,,312,215-686-0461,,,,,https://phlcouncil.com/KendraBrooks/,8/11/26
Nicolas O'Rourke,at large,,319A,215-686-3452,,,,,https://phlcouncil.com/NicolasOrourke/,8/11/26
